['10/27/2014', '9:02:12 AM', '-1.000126E+2', '-4.319103E-4', '2.314751E+5', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '25.223185', '25.631588', '24.200340', '25.079693', '26.632357', '30.104584', '29.612589', '30.093651']
['10/27/2014', '9:03:12 AM', '-1.000131E+2', '-4.332936E-4', '2.308160E+5', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '25.215418', '25.447212', '24.111628', '25.097679', '26.852705', '29.755672', '29.310478', '29.939636']
['10/27/2014', '9:04:12 AM', '-1.000128E+2', '-4.352041E-4', '2.298570E+5', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '25.215008', '25.601334', '24.188484', '25.421049', '26.826542', '29.979700', '29.608091', '30.202141']
['10/27/2014', '9:05:13 AM', '-1.000127E+2', '-4.344252E-4', '2.301116E+5', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '25.215727', '25.469599', '24.141371', '24.855156', '26.356310', '29.711830', '29.369656', '29.976740']
['10/27/2014', '9:06:13 AM', '-1.000126E+2', '-4.339168E-4', '2.304549E+5', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '25.213127', '25.728230', '24.179245', '25.117466', '26.570789', '29.845366', '29.389133', '29.988857']
['10/27/2014', '9:07:13 AM', '-1.000127E+2', '-4.334126E-4', '2.306994E+5', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '25.196953', '25.436108', '24.240335', '25.068178', '26.672352', '29.715134', '29.358242', '29.873343']
['10/27/2014', '9:08:13 AM', '-1.000127E+2', '-4.383679E-4', '2.280558E+5', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '25.189056', '25.707836', '24.261873', '24.946222', '26.587191', '29.493835', '29.085434', '29.622612']
['10/27/2014', '9:09:13 AM', '-1.000126E+2', '-4.394917E-4', '2.275082E+5', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '25.192389', '25.582394', '24.268885', '24.993706', '26.516937', '29.453016', '28.982065', '29.655378']
['10/27/2014', '9:10:13 AM', '-1.000128E+2', '-4.369341E-4', '2.288890E+5', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '25.185423', '25.575430', '24.063238', '25.086082', '26.749126', '29.596903', '29.280485', '29.836058']
['10/27/2014', '9:11:13 AM', '-1.000130E+2', '-4.382754E-4', '2.281532E+5', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '25.197411', '25.642605', '24.192961', '25.057596', '26.720640', '29.704550', '29.189449', '29.763418']
